x,t,h
1.010101010101016605e-02,1.000000000000000021e-02,3.271013847552239895e-04
3.030303030303049816e-02,1.000000000000000021e-02,3.695994964800775051e-04
5.050505050505060822e-02,1.000000000000000021e-02,8.029848686419427395e-04
7.070707070707071829e-02,1.000000000000000021e-02,1.986852381378412247e-03
9.090909090909105039e-02,1.000000000000000021e-02,4.265776369720697403e-03
1.111111111111111605e-01,1.000000000000000021e-02,7.913341745734214783e-03
1.313131313131314926e-01,1.000000000000000021e-02,1.306354068219661713e-02
1.515151515151516026e-01,1.000000000000000021e-02,1.966028474271297455e-02
1.717171717171717127e-01,1.000000000000000021e-02,2.747332118451595306e-02
1.919191919191920448e-01,1.000000000000000021e-02,3.622394055128097534e-02
2.121212121212121549e-01,1.000000000000000021e-02,4.571991413831710815e-02
2.323232323232324870e-01,1.000000000000000021e-02,5.583804100751876831e-02
2.525252525252525970e-01,1.000000000000000021e-02,6.632434576749801636e-02
2.727272727272729291e-01,1.000000000000000021e-02,7.666581124067306519e-02
2.929292929292930392e-01,1.000000000000000021e-02,8.621066063642501831e-02
3.131313131313131493e-01,1.000000000000000021e-02,9.433715790510177612e-02
3.333333333333334814e-01,1.000000000000000021e-02,1.004286333918571472e-01
3.535353535353535914e-01,1.000000000000000021e-02,1.038010641932487488e-01
3.737373737373739235e-01,1.000000000000000021e-02,1.037560626864433289e-01
3.939393939393940336e-01,1.000000000000000021e-02,9.971230477094650269e-02
4.141414141414143657e-01,1.000000000000000021e-02,9.124737232923507690e-02
4.343434343434344758e-01,1.000000000000000021e-02,7.804112881422042847e-02
4.545454545454545858e-01,1.000000000000000021e-02,5.981116741895675659e-02
4.747474747474749179e-01,1.000000000000000021e-02,3.630947321653366089e-02
4.949494949494950280e-01,1.000000000000000021e-02,7.371118757873773575e-03
5.151515151515153601e-01,1.000000000000000021e-02,-2.701205946505069733e-02
5.353535353535354702e-01,1.000000000000000021e-02,-6.663567572832107544e-02
5.555555555555555802e-01,1.000000000000000021e-02,-1.110514476895332336e-01
5.757575757575759123e-01,1.000000000000000021e-02,-1.595540195703506470e-01
5.959595959595960224e-01,1.000000000000000021e-02,-2.111984044313430786e-01
6.161616161616163545e-01,1.000000000000000021e-02,-2.648543715476989746e-01
6.363636363636364646e-01,1.000000000000000021e-02,-3.193075656890869141e-01
6.565656565656567967e-01,1.000000000000000021e-02,-3.733512759208679199e-01
6.767676767676769067e-01,1.000000000000000021e-02,-4.257767796516418457e-01
6.969696969696970168e-01,1.000000000000000021e-02,-4.752516448497772217e-01
7.171717171717173489e-01,1.000000000000000021e-02,-5.202380418777465820e-01
7.373737373737374590e-01,1.000000000000000021e-02,-5.590767860412597656e-01
7.575757575757577911e-01,1.000000000000000021e-02,-5.901716351509094238e-01
7.777777777777779011e-01,1.000000000000000021e-02,-6.121063828468322754e-01
7.979797979797982332e-01,1.000000000000000021e-02,-6.236490011215209961e-01
8.181818181818183433e-01,1.000000000000000021e-02,-6.237170696258544922e-01
8.383838383838384534e-01,1.000000000000000021e-02,-6.113619208335876465e-01
8.585858585858587855e-01,1.000000000000000021e-02,-5.857355594635009766e-01
8.787878787878788955e-01,1.000000000000000021e-02,-5.460380315780639648e-01
8.989898989898992276e-01,1.000000000000000021e-02,-4.915063977241516113e-01
9.191919191919193377e-01,1.000000000000000021e-02,-4.215065836906433105e-01
9.393939393939394478e-01,1.000000000000000021e-02,-3.356965482234954834e-01
9.595959595959597799e-01,1.000000000000000021e-02,-2.343913763761520386e-01
9.797979797979798899e-01,1.000000000000000021e-02,-1.197876706719398499e-01
1.000000000000000000e+00,1.000000000000000021e-02,1.899293158203363419e-03
-1.000000000000000000e+00,2.000000000000000042e-02,2.039185259491205215e-03
-9.797979797979797789e-01,2.000000000000000042e-02,1.282069534063339233e-01
-9.595959595959595578e-01,2.000000000000000042e-02,2.473633736371994019e-01
-9.393939393939394478e-01,2.000000000000000042e-02,3.523114323616027832e-01
-9.191919191919192267e-01,2.000000000000000042e-02,4.393950402736663818e-01
-8.989898989898990056e-01,2.000000000000000042e-02,5.086068511009216309e-01
-8.787878787878787845e-01,2.000000000000000042e-02,5.619089007377624512e-01
-8.585858585858585634e-01,2.000000000000000042e-02,6.011094450950622559e-01
-8.383838383838383423e-01,2.000000000000000042e-02,6.268764734268188477e-01
-8.181818181818181213e-01,2.000000000000000042e-02,6.392359137535095215e-01
-7.979797979797980112e-01,2.000000000000000042e-02,6.385801434516906738e-01
-7.777777777777777901e-01,2.000000000000000042e-02,6.260973811149597168e-01
-7.575757575757575690e-01,2.000000000000000042e-02,6.034693717956542969e-01
-7.373737373737373479e-01,2.000000000000000042e-02,5.723344683647155762e-01
-7.171717171717171269e-01,2.000000000000000042e-02,5.339654088020324707e-01
-6.969696969696970168e-01,2.000000000000000042e-02,4.893000721931457520e-01
-6.767676767676766847e-01,2.000000000000000042e-02,4.392675459384918213e-01
-6.565656565656565746e-01,2.000000000000000042e-02,3.851968050003051758e-01
-6.363636363636363535e-01,2.000000000000000042e-02,3.289738595485687256e-01
-6.161616161616161325e-01,2.000000000000000042e-02,2.726501524448394775e-01
-5.959595959595959114e-01,2.000000000000000042e-02,2.177209109067916870e-01
-5.757575757575756903e-01,2.000000000000000042e-02,1.649358719587326050e-01
-5.555555555555555802e-01,2.000000000000000042e-02,1.149156019091606140e-01
-5.353535353535352481e-01,2.000000000000000042e-02,6.863956898450851440e-02
-5.151515151515151381e-01,2.000000000000000042e-02,2.720128558576107025e-02
-4.949494949494949170e-01,2.000000000000000042e-02,-8.641311898827552795e-03
-4.747474747474746959e-01,2.000000000000000042e-02,-3.861618787050247192e-02
-4.545454545454544748e-01,2.000000000000000042e-02,-6.281197816133499146e-02
-4.343434343434342537e-01,2.000000000000000042e-02,-8.149368315935134888e-02
-4.141414141414141437e-01,2.000000000000000042e-02,-9.497756510972976685e-02
-3.939393939393939226e-01,2.000000000000000042e-02,-1.035960391163825989e-01
-3.737373737373737015e-01,2.000000000000000042e-02,-1.077182963490486145e-01
-3.535353535353534804e-01,2.000000000000000042e-02,-1.077843382954597473e-01
-3.333333333333332593e-01,2.000000000000000042e-02,-1.043298915028572083e-01
-3.131313131313130382e-01,2.000000000000000042e-02,-9.798414260149002075e-02
-2.929292929292928171e-01,2.000000000000000042e-02,-8.944381028413772583e-02
-2.727272727272727071e-01,2.000000000000000042e-02,-7.942397147417068481e-02
-2.525252525252524860e-01,2.000000000000000042e-02,-6.860978156328201294e-02
-2.323232323232322649e-01,2.000000000000000042e-02,-5.761332064867019653e-02
-2.121212121212120438e-01,2.000000000000000042e-02,-4.694563895463943481e-02
-1.919191919191918227e-01,2.000000000000000042e-02,-3.700620681047439575e-02
-1.717171717171716017e-01,2.000000000000000042e-02,-2.808464504778385162e-02
-1.515151515151514916e-01,2.000000000000000042e-02,-2.036918140947818756e-02
-1.313131313131312705e-01,2.000000000000000042e-02,-1.395864225924015045e-02
-1.111111111111110494e-01,2.000000000000000042e-02,-8.871981874108314514e-03
-9.090909090909082835e-02,2.000000000000000042e-02,-5.058833863586187363e-03
-7.070707070707060726e-02,2.000000000000000042e-02,-2.410241868346929550e-03
-5.050505050505038618e-02,2.000000000000000042e-02,-7.670014747418463230e-04
-3.030303030303027612e-02,2.000000000000000042e-02,7.455650484189391136e-05
-1.010101010101005503e-02,2.000000000000000042e-02,3.570825210772454739e-04
1.010101010101016605e-02,2.000000000000000042e-02,3.628641716204583645e-04
3.030303030303049816e-02,2.000000000000000042e-02,4.126936546526849270e-04
5.050505050505060822e-02,2.000000000000000042e-02,8.616358391009271145e-04
7.070707070707071829e-02,2.000000000000000042e-02,2.083113882690668106e-03
9.090909090909105039e-02,2.000000000000000042e-02,4.439166281372308731e-03
1.111111111111111605e-01,2.000000000000000042e-02,8.221080526709556580e-03
1.313131313131314926e-01,2.000000000000000042e-02,1.357602141797542572e-02
1.515151515151516026e-01,2.000000000000000042e-02,2.044843696057796478e-02
1.717171717171717127e-01,2.000000000000000042e-02,2.859889529645442963e-02
1.919191919191920448e-01,2.000000000000000042e-02,3.772514313459396362e-02
2.121212121212121549e-01,2.000000000000000042e-02,4.761081188917160034e-02
2.323232323232324870e-01,2.000000000000000042e-02,5.811678618192672729e-02
2.525252525252525970e-01,2.000000000000000042e-02,6.898777931928634644e-02
2.727272727272729291e-01,2.000000000000000042e-02,7.971613854169845581e-02
2.929292929292930392e-01,2.000000000000000042e-02,8.964370936155319214e-02
3.131313131313131493e-01,2.000000000000000042e-02,9.811460226774215698e-02
3.333333333333334814e-01,2.000000000000000042e-02,1.044704839587211609e-01
